timestamp,burst,altitude,northing,easting,serie,timestamp,burst,altitude,northing,easting,serie
1447410532945462,1,107.130848,5735871.101529,619972.956742,3,1439478213194257,1,108.009085,5735874.61696,619973.18345,3
1447410539195517,1,107.402566,5735871.059245,619971.953927,3,1439478224694407,1,108.05633,5735874.21393,619971.793238,3
1447410551820619,1,107.411757,5735870.829804,619970.947722,3,1439478240819607,1,108.302328,5735874.0737,619970.708514,3
1447410553133131,1,107.564676,5735870.091864,619969.132932,3,1439478242257125,1,108.515008,5735873.83041,619968.839463,3
1447410554508146,1,107.658786,5735869.691914,619967.196167,3,1439478243507146,1,108.607548,5735873.25933,619966.862977,3
1447410574570828,1,108.618065,5735868.776762,619958.613511,4,1439478250694753,1,108.948951,5735870.69952,619957.535014,4
1447410575695839,1,108.58326,5735867.619689,619956.978608,4,1439478252882282,1,108.88424,5735869.86193,619955.746586,4
1447410576445843,1,108.568443,5735865.850945,619955.773348,4,1439478254194805,1,108.912317,5735868.35902,619954.332233,4
1447410577070846,1,108.665014,5735863.778331,619955.157841,4,1439478255194814,1,109.000534,5735866.52031,619953.525219,4
1447410577570851,1,108.75544,5735861.754699,619955.12455,4,1439478256007325,1,109.049325,5735864.18752,619953.337382,4
1447410579445870,1,108.953196,5735852.208773,619957.890831,5,1439478258382355,1,109.099916,5735854.71733,619956.427279,5
1447410579820874,1,108.97352,5735850.122571,619958.735343,5,1439478258819863,1,109.095387,5735852.82296,619957.330683,5
1447410580133379,1,108.990189,5735848.218479,619959.545557,5,1439478259257368,1,109.07977,5735850.81415,619958.198907,5
1447410580445881,1,109.027751,5735846.228444,619960.312663,5,1439478259694875,1,109.091943,5735848.74948,619959.164331,5
1447410580758384,1,109.055867,5735844.378664,619961.141452,5,1439478260069880,1,109.080749,5735846.90859,619960.033359,5
1447410582195897,1,109.192124,5735835.046774,619965.104466,6,1439478262007399,1,109.077629,5735837.3053,619964.495885,6
