timestamp,burst,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw,serie
1447410532945462,1,INS_SOLUTION_GOOD,51.760864,-1.261596,107.130848,5735871.101529,619972.956742,-107.130848,30U,-0.118892,-0.551068,0.012852,0.040372,0.00073,4.494165,3
1447410539195517,1,INS_SOLUTION_GOOD,51.760864,-1.261611,107.402566,5735871.059245,619971.953927,-107.402566,30U,-0.010121,-0.054581,-0.00945,0.039285,0.000801,4.450176,3
1447410551820619,1,INS_SOLUTION_GOOD,51.760862,-1.261625,107.411757,5735870.829804,619970.947722,-107.411757,30U,-0.319788,-0.924885,-0.017013,0.037573,0.004574,4.381236,3
1447410553133131,1,INS_SOLUTION_GOOD,51.760856,-1.261652,107.564676,5735870.091864,619969.132932,-107.564676,30U,-0.421909,-1.493021,-0.019936,0.039035,0.001238,4.450819,3
1447410554508146,1,INS_SOLUTION_GOOD,51.760853,-1.26168,107.658786,5735869.691914,619967.196167,-107.658786,30U,-0.198284,-1.304565,-0.013016,0.051774,0.005387,4.589607,3
1447410574570828,1,INS_SOLUTION_GOOD,51.760846,-1.261805,108.618065,5735868.776762,619958.613511,-108.618065,30U,-0.42159,-0.93481,0.00586,0.026742,-0.049334,4.276636,4
1447410575695839,1,INS_SOLUTION_GOOD,51.760836,-1.261829,108.58326,5735867.619689,619956.978608,-108.58326,30U,-1.718313,-1.846553,0.114034,0.02334,-0.013523,3.926876,4
1447410576445843,1,INS_SOLUTION_GOOD,51.760821,-1.261847,108.568443,5735865.850945,619955.773348,-108.568443,30U,-2.898552,-1.379508,-0.152458,0.033175,0.035509,3.587982,4
1447410577070846,1,INS_SOLUTION_GOOD,51.760802,-1.261856,108.665014,5735863.778331,619955.157841,-108.665014,30U,-3.746424,-0.712466,-0.17085,-0.003522,0.029974,3.303401,4
1447410577570851,1,INS_SOLUTION_GOOD,51.760784,-1.261857,108.75544,5735861.754699,619955.12455,-108.75544,30U,-4.355358,0.100282,-0.154921,-0.001753,0.017029,3.102086,4
1447410579445870,1,INS_SOLUTION_GOOD,51.760698,-1.261821,108.953196,5735852.208773,619957.890831,-108.953196,30U,-5.767843,2.095931,-0.036151,-0.008219,-0.000102,2.790618,5
1447410579820874,1,INS_SOLUTION_GOOD,51.760679,-1.261809,108.97352,5735850.122571,619958.735343,-108.97352,30U,-5.942992,2.290892,-0.075802,-0.010787,-0.00097,2.768435,5
1447410580133379,1,INS_SOLUTION_GOOD,51.760661,-1.261798,108.990189,5735848.218479,619959.545557,-108.990189,30U,-6.072103,2.462244,-0.049345,-0.010828,-0.004617,2.755272,5
1447410580445881,1,INS_SOLUTION_GOOD,51.760643,-1.261788,109.027751,5735846.228444,619960.312663,-109.027751,30U,-6.181235,2.575194,-0.110578,-0.011314,0.000362,2.745409,5
1447410580758384,1,INS_SOLUTION_GOOD,51.760626,-1.261776,109.055867,5735844.378664,619961.141452,-109.055867,30U,-6.278874,2.653443,-0.04456,-0.01263,-0.005665,2.741848,5
1447410582195897,1,INS_SOLUTION_GOOD,51.760542,-1.261722,109.192124,5735835.046774,619965.104466,-109.192124,30U,-6.654839,2.76084,-0.062943,-0.014234,-0.003072,2.744875,6
1447410582508394,1,INS_SOLUTION_GOOD,51.760523,-1.261709,109.211399,5735832.933652,619966.043179,-109.211399,30U,-6.693861,2.770676,-0.075432,-0.018209,-0.005336,2.746864,6
1447410582820898,1,INS_SOLUTION_GOOD,51.760505,-1.261697,109.227931,5735830.943619,619966.920661,-109.227931,30U,-6.715167,2.766957,-0.020584,-0.014724,-0.002221,2.745988,6
