,Serie,northing.1,timestamp,easting
180,39,5735900.58611,1447410670946725,620065.923223
181,39,5735902.65971,1447410671446730,620065.699373
182,39,5735904.7207,1447410671884236,620065.476495
183,39,5735906.80234,1447410672384234,620065.250892
184,39,5735908.8562,1447410673009242,620065.029179
375,78,5735554.84045,1447410924824225,620425.660688
376,78,5735555.6,1447410925199215,620427.630808
377,78,5735556.42728,1447410925574220,620429.671506
378,78,5735557.19709,1447410925949225,620431.733889
379,78,5735557.9107,1447410926324229,620433.861619
1080,219,5735985.81465,1447411606018785,619819.872116
1081,219,5735985.10586,1447411606581292,619818.028411
1082,219,5735984.2738,1447411607143798,619816.172935
1083,219,5735983.18541,1447411607706305,619814.299484
1084,219,5735981.92786,1447411608268812,619812.503822
1015,206,5736102.71322,1447411548955677,620007.11298
1016,206,5736101.92373,1447411549268184,620005.172232
1017,206,5736101.16427,1447411549643201,620002.952056
1018,206,5736100.34683,1447411549955690,620000.938122
1019,206,5736099.51647,1447411550268193,619998.885399
450,93,5735540.94276,1447410970887185,620633.670086
451,93,5735539.03145,1447410971199687,620634.594847
452,93,5735537.06789,1447410971449690,620635.378282
453,93,5735535.13798,1447410971824693,620636.499896
454,93,5735533.29415,1447410972137198,620637.368588
1375,278,5735104.31614,1447412108836664,619864.924449
1376,278,5735102.38196,1447412109399172,619864.689102
1377,278,5735100.6727,1447412109961677,619864.424782
1378,278,5735099.52835,1447412110524181,619864.213515
1379,278,5735099.4708,1447412111086687,619863.971999
2225,448,5735818.10287,1447413170348297,620072.118404
2226,448,5735820.63884,1447413170598297,620071.916907
2227,448,5735822.98375,1447413170848299,620071.696951
2228,448,5735825.53104,1447413171098303,620071.493269
2229,448,5735827.88099,1447413171348305,620071.257453
5,4,5735870.69952,1447410574570828,619958.613511
6,4,5735869.86193,1447410575695839,619956.978608
7,4,5735868.35902,1447410576445843,619955.773348
8,4,5735866.52031,1447410577070846,619955.157841
9,4,5735864.18752,1447410577570851,619955.12455
2165,436,5735586.98362,1447413133347884,620092.169446
2166,436,5735589.30796,1447413133597885,620092.207837
2167,436,5735592.00346,1447413133847888,620092.239966
2168,436,5735594.34657,1447413134097891,620092.260866
2169,436,5735596.55296,1447413134347895,620092.311318
1575,318,5734904.21075,1447412331964089,619979.661353
1576,318,5734903.08881,1447412332276592,619981.510893
1577,318,5734902.00197,1447412332651591,619983.746981
1578,318,5734900.71046,1447412332964096,619985.501747
1579,318,5734899.3981,1447412333276598,619987.315682
1670,337,5734788.79658,1447412470403098,619860.197203
1671,337,5734790.16783,1447412470903108,619858.398498
1672,337,5734791.70596,1447412471403108,619856.6874
1673,337,5734793.12554,1447412471965614,619854.792944
1674,337,5734794.66306,1447412472465619,619853.243336
535,110,5735237.7207,1447411024950223,620643.076263
536,110,5735237.88629,1447411025325228,620640.569627
537,110,5735238.05195,1447411025637732,620638.560819
538,110,5735238.10163,1447411025950238,620636.418307
539,110,5735238277.0,1447411026325240,620633.951755
1755,354,5734874.39459,1447412548341440,619604.370397
1756,354,5734876.54432,1447412548653945,619603.930588
1757,354,5734878.72758,1447412548966450,619603.510569
1758,354,5734880.74805,1447412549278953,619603.148698
1759,354,5734882.79089,1447412549591457,619602.747729
1940,391,5735235.29674,1447412878657570,620000.169529
1941,391,5735237.36443,1447412879782598,619999.664297
1942,391,5735239.42818,1447412881345106,619999.110426
1943,391,5735241.58411,1447412883220123,619998.495878
1944,391,5735243.7721,1447412885032643,619997.827665
545,112,5735241.36465,1447411030887790,620605.096996
546,112,5735241.50049,1447411031262791,620602.965999
547,112,5735241.70474,1447411031637796,620600.667039
548,112,5735241.90838,1447411032012800,620598.391241
549,112,5735242.10771,1447411032387805,620596.214745
560,115,5735240.39399,1447411041012887,620548.95205
561,115,5735240.66075,1447411041387892,620546.634643
562,115,5735240.49297,1447411041762896,620544.427926
563,115,5735240.30413,1447411042137903,620542.147296
564,115,5735240.17011,1447411042512908,620539.78858
1605,324,5734836.02645,1447412354839331,620047.952368
1606,324,5734834.15753,1447412355276840,620046.651444
1607,324,5734832.48918,1447412355714344,620045.381407
1608,324,5734830.79669,1447412356151864,620044.111228
1609,324,5734828.95275,1447412356589354,620042.813194
1850,373,5735059.04458,1447412775406425,619791.769802
1851,373,5735059.44899,1447412775843929,619793.776553
1852,373,5735059.89056,1447412776218936,619795.657061
1853,373,5735060.25138,1447412776656443,619797.724966
1854,373,5735060.71991,1447412777093943,619799.772056
175,38,5735882.25676,1447410667884194,620067.968112
176,38,5735884.2762,1447410668196698,620067.726482
177,38,5735886.34853,1447410668509204,620067.487531
178,38,5735888.33896,1447410668884207,620067.209711
179,38,5735890.45473,1447410669259209,620066.970023
245,52,5735874.12237,1447410823448206,620140.549048
246,52,5735871.92554,1447410823698209,620142.022793
247,52,5735869.91524,1447410823885711,620143.258321
248,52,5735867.76352,1447410824135714,620144.744587
249,52,5735865.80352,1447410824385718,620146.369043
1505,304,5734966.32302,1447412222025398,619735.094744
1506,304,5734966.47519,1447412222462904,619737.485474
1507,304,5734966.6368,1447412222837904,619739.618704
1508,304,5734966.8035,1447412223212906,619741.728577
1509,304,5734966.9506,1447412223650410,619744.13909
1895,382,5735166.6907,1447412844032191,619880.292951
1896,382,5735169.26161,1447412844407196,619880.611544
1897,382,5735171.53715,1447412844782199,619880.757866
1898,382,5735173.73008,1447412845094702,619880.826994
1899,382,5735176035.0,1447412845469703,619880.811137
580,119,5735221.81324,1447411087700865,620482.395867
581,119,5735220.37672,1447411088075871,620480.889738
582,119,5735218.86437,1447411088450873,620479.368908
583,119,5735217.36686,1447411088825877,620477.722585
584,119,5735215.8407,1447411089200896,620476.1111
1215,246,5735647.48574,1447411720082501,619783.854818
1216,246,5735645.91167,1447411720332504,619785.35426
1217,246,5735644.31755,1447411720582508,619786.755207
1218,246,5735642.79235,1447411720832508,619788.271281
1219,246,5735641.16026,1447411721082509,619789.667958
2360,475,5736010.14395,1447413307599825,619883.305173
2361,475,5736008.28593,1447413307912330,619884.382467
2362,475,5736006.26759,1447413308224833,619885.410004
2363,475,5736004.40063,1447413308537340,619886.525213
2364,475,5736002.12392,1447413308849842,619887.655732
310,65,5735677.76429,1447410850885979,620295.463493
311,65,5735675.4613,1447410851198484,620296.168269
312,65,5735673.46324,1447410851448486,620296.77115
313,65,5735671.00412,1447410851760988,620297.45615
314,65,5735668.68598,1447410852010987,620298.035025
2125,428,5735441.31022,1447413113722666,620097.23744
2126,428,5735443.52702,1447413114472677,620098.981821
2127,428,5735445.55542,1447413115097684,620100.441232
2128,428,5735447.57306,1447413115660191,620101.548743
2129,428,5735449.82359,1447413116160198,620102.308438
1030,209,5736082.10088,1447411557080769,619952.902244
1031,209,5736081.40658,1447411557393273,619950.887956
1032,209,5736080.6026,1447411557705778,619948.917601
1033,209,5736079.90069,1447411558143277,619946.338862
1034,209,5736078.98179,1447411558455781,619944.385563
660,135,5735175.80464,1447411149389010,620416.592036
661,135,5735176.34697,1447411149826515,620418.664028
662,135,5735176.92704,1447411150264020,620420.70027
663,135,5735177.68796,1447411150701527,620422.592335
664,135,5735178.32714,1447411151201529,620424.812281
1560,315,5734933.35303,1447412324213997,619930.086357
1561,315,5734932.38504,1447412324463998,619931.922254
1562,315,5734931.48305,1447412324714003,619933.894331
1563,315,5734930.47467,1447412325026504,619936.283492
1564,315,5734929.57652,1447412325339008,619938.48441
1225,248,5735619.43377,1447411724770044,619809.896984
1226,248,5735617.75455,1447411725082547,619811.380956
1227,248,5735615999.0,1447411725395051,619812.927519
1228,248,5735614.32008,1447411725707555,619814.39992
1229,248,5735612.48079,1447411726020060,619815.72609
2275,458,5736004.25617,1447413237661553,620046.231609
2276,458,5736006.64319,1447413237911557,620045.846078
2277,458,5736009.24777,1447413238224059,620045.389974
2278,458,5736011.68504,1447413238474062,620045.000737
2279,458,5736014.31967,1447413238786566,620044.523516
1105,224,5735930.68503,1447411630269047,619744.410083
1106,224,5735929.40866,1447411630769052,619742.642219
1107,224,5735927.93058,1447411631206555,619740.989131
1108,224,5735926.45405,1447411631706560,619739.179252
1109,224,5735925.17824,1447411632206566,619737.283039
425,88,5735628.04543,1447410957887044,620589.1781
426,88,5735625.97735,1447410958262047,620590.159947
427,88,5735623.94045,1447410958574552,620591.084934
428,88,5735622.08867,1447410958887058,620592.064149
429,88,5735620.20474,1447410959262061,620593.237385
1790,361,5734992.19651,1447412579904286,619584.334565
1791,361,5734993.64923,1447412580279291,619586.010656
1792,361,5734995.07288,1447412580716799,619588.035477
1793,361,5734996.23672,1447412581091798,619589.892878
1794,361,5734997.2052,1447412581466800,619591.855027
1230,249,5735604.20107,1447411727520071,619821.543306
1231,249,5735602.42893,1447411727832573,619822.638277
1232,249,5735600.60093,1447411728145081,619823.688445
1233,249,5735598.87684,1447411728520085,619824.834061
1234,249,5735596.99208,1447411728895087,619826.007735
1705,344,5734843.01017,1447412504653465,619771.459108
1706,344,5734842.55937,1447412505153472,619769.283414
1707,344,5734842.08059,1447412505653478,619767.120448
1708,344,5734841.6502,1447412506153484,619764.953576
1709,344,5734841.31576,1447412506653491,619762.806492
590,121,5735197.95368,1447411093575933,620454.271798
591,121,5735196.61143,1447411093950939,620452.329299
592,121,5735195.23401,1447411094325942,620450.470257
593,121,5735193.88106,1447411094700947,620448.591914
594,121,5735192.55127,1447411095075950,620446.579092
830,169,5735611.62762,1447411338640967,620191.03558
831,169,5735613.04616,1447411339140972,620189.383596
832,169,5735614.60211,1447411339640978,620187.708291
833,169,5735615.91976,1447411340140982,620185.975665
834,169,5735617.23123,1447411340640986,620184.223737
515,106,5735296.91958,1447411005512536,620671.699362
516,106,5735294.64282,1447411005887537,620671.662499
517,106,5735292.48195,1447411006262541,620671.670311
518,106,5735290.14105,1447411006637560,620671.639584
519,106,5735287.80703,1447411007012552,620671.612345
485,100,5735410.89445,1447410988324862,620663.996168
486,100,5735408.57433,1447410988637364,620664.237755
487,100,5735406.41401,1447410988949869,620664.502875
488,100,5735404.04845,1447410989324871,620664.972275
489,100,5735401.97091,1447410989699877,620665.271754
700,143,5735284.48813,1447411207577121,620451.730319
701,143,5735286.73054,1447411207827109,620450.948393
702,143,5735288.70488,1447411208139614,620450.048166
703,143,5735290.53432,1447411208389616,620449.202123
704,143,5735292.5163,1447411208702122,620448.301291
1995,402,5735432.70756,1447412927783104,619941.028474
1996,402,5735435.0344,1447412928158108,619940.486161
1997,402,5735437.24145,1447412928533113,619939.906795
1998,402,5735439.21759,1447412928908117,619939.338395
1999,402,5735441.20311,1447412929283125,619938.882199
225,48,5735943.92486,1447410815385629,620101.118798
226,48,5735941.80861,1447410815698131,620102.180637
227,48,5735939.84425,1447410816010633,620103.346247
228,48,5735937.69335,1447410816260640,620104.268093
229,48,5735935.68122,1447410816510637,620105.264972
1120,227,5735898.40144,1447411643519186,619698.878976
1121,227,5735896.94038,1447411644019191,619697.186334
1122,227,5735895.71531,1447411644519196,619695.48047
1123,227,5735894.49105,1447411645019204,619693.818964
1124,227,5735893.25641,1447411645519207,619692.145935
35,10,5735768.05333,1447410594196009,619993.495653
36,10,5735765.91395,1447410594508514,619994.118033
37,10,5735764.04322,1447410594883513,619994.807209
38,10,5735761.89483,1447410595196017,619995.47067
39,10,5735759.97155,1447410595508530,619996.083012
1780,359,5734961.1653,1447412570841692,619578.583716
1781,359,5734962.27269,1447412571466698,619576.988294
1782,359,5734963.23803,1447412572091706,619575.391552
1783,359,5734964.32182,1447412572654211,619574.099278
1784,359,5734965.27405,1447412573154218,619573.216582
1760,355,5734892.62788,1447412551153981,619601.004565
1761,355,5734895.0326,1447412551528981,619600.612389
1762,355,5734897.00505,1447412551903986,619600.269858
1763,355,5734899.18095,1447412552278994,619599.898625
1764,355,5734901.2239,1447412552654011,619599.559688
125,28,5735687.15644,1447410648884008,620088.666234
126,28,5735689.36795,1447410649134010,620088.26547
127,28,5735691.40551,1447410649384012,620087.887117
128,28,5735693.61231,1447410649571513,620087.561461
129,28,5735695.64722,1447410649821518,620087.162012
970,197,5735979.35268,1447411519267869,620075.057515
971,197,5735979.52606,1447411520205379,620073.288133
972,197,5735979.75167,1447411520955383,620071.181599
973,197,5735980.05076,1447411521517886,620069.173071
974,197,5735980.52404,1447411522080391,620067.051032
2220,447,5735798.05952,1447413167973271,620074.069579
2221,447,5735800.60367,1447413168285774,620073.803473
2222,447,5735802.95553,1447413168598279,620073.551355
2223,447,5735805.50604,1447413168848285,620073.332827
2224,447,5735807.73069,1447413169160786,620073.077528
1845,372,5735054.56734,1447412712530747,619776.147694
1846,372,5735055.12157,1447412771218889,619776.378953
1847,372,5735055.67432,1447412772218901,619778.247068
1848,372,5735056.2156,1447412772906409,619780.214025
1849,372,5735056.76978,1447412773406417,619782.181171
615,126,5735158.79607,1447411111451114,620371.129546
616,126,5735158.19205,1447411111888618,620368.889024
617,126,5735157.5908,1447411112326123,620366.682105
618,126,5735156.90012,1447411112763629,620364.525914
619,126,5735156.31166,1447411113201137,620362.340864
385,80,5735568.86043,1447410930636767,620460.430654
386,80,5735569.70623,1447410930949271,620462.525809
387,80,5735570.49328,1447410931261774,620464.49938
388,80,5735571.35632,1447410931574277,620466.562139
389,80,5735572.19569,1447410931886783,620468.601782
1690,341,5734854.46507,1447412490090806,619825.637712
1691,341,5734855.44147,1447412491090812,619823.893546
1692,341,5734855.79484,1447412492090823,619821.888697
1693,341,5734855.63588,1447412492965838,619819.811514
1694,341,5734855.23972,1447412493715845,619817.764683
105,24,5735609.99479,1447410640633932,620092.614583
106,24,5735612.32717,1447410640946435,620092.578954
107,24,5735614.34025,1447410641258946,620092.48511
108,24,5735616.52928,1447410641508942,620092.453075
109,24,5735618.55649,1447410641821446,620092.409197
1585,320,5734884.27851,1447412337776648,620012.783149
1586,320,5734883.34002,1447412338089156,620014.641839
1587,320,5734882.46486,1447412338464158,620016.69461
1588,320,5734881.41692,1447412338776662,620018.51784
1589,320,5734880.49863,1447412339151665,620020.633315
810,165,5735552.19846,1447411322640799,620236.891883
811,165,5735554.12972,1447411323015799,620235.794192
812,165,5735555.82381,1447411323390804,620234.87319
813,165,5735557.53562,1447411323765807,620233.814994
814,165,5735559.26966,1447411324203313,620232.664847
1880,379,5735114.70086,1447412799719198,619867.028724
1881,379,5735116.74267,1447412800344206,619867.442846
1882,379,5735118.71096,1447412800969214,619867.899857
1883,379,5735120.77221,1447412801719224,619868.306477
1884,379,5735122.8181,1447412802531736,619868.768122
1580,319,5734893.95007,1447412334839113,619996.150734
1581,319,5734892.67295,1447412335151618,619997.846569
1582,319,5734891.49415,1447412335526619,619999.991303
1583,319,5734890.14342,1447412335901623,620002.022248
1584,319,5734889.06603,1447412336214127,620003.802197
