,q_timestamp,db_timestamp,snow_timestamp,night_timestamp,serie,new_serie
0,1439480832859628,1447412867657454,1422955359821864,1415987141997025,389,
1,1439480833234635,1447412868157457,1422955360321801,1415987142434469,389,
2,1439480833609641,1447412868657463,1422955360884228,1415987142871920,389,
3,1439480833984650,1447412869157468,1422955361509148,1415987143309350,389,
4,1439480834359654,1447412869719974,1422955362134068,1415987143746793,389,
5,1439479534651585,1447411903584479,1422954693407510,1415986136257060,261,
6,1439479535964105,1447411904334473,1422954693782461,1415986136632011,261,
7,1439479537214125,1447411905084477,1422954694157413,1415986137006959,261,
8,1439479538589149,1447411905771979,1422954694594857,1415986137381910,261,
9,1439479540464177,1447411906521989,1422954694969809,1415986137694364,261,
10,1439478273632561,1447410591008479,1422953212850095,1415985054528059,9,
11,1439478274257571,1447410591383483,1422953213225046,1415985054778027,9,
12,1439478275007581,1447410591820983,1422953213599995,1415985055090484,9,
13,1439478275632590,1447410592195983,1422953213974948,1415985055340451,9,
14,1439478276132597,1447410592570987,1422953214349899,1415985055652905,9,
15,1439478405259387,1447410694071936,1422953320148525,1415985144765842,41,
16,1439478414009527,1447410694571942,1422953328522429,1415985145265774,41,
17,1439478446947502,1447410695071946,1422953329522297,1415985145765704,41,
18,1439478448822530,1447410695634452,1422953330209707,1415985146265639,41,
19,1439478449760039,1447410696196958,1422953330772134,1415985146703076,41,
20,1439478657888095,1447411027887754,1422953642543845,1415985420228594,111,
21,1439478658200597,1447411028262761,1422953642918794,1415985420478562,111,
22,1439478658513101,1447411028575260,1422953643293747,1415985420791018,111,
23,1439478658888104,1447411028887764,1422953643668696,1415985421040986,111,
24,1439478659200611,1447411029262782,1422953644043648,1415985421353440,111,
25,1439478757952099,1447411162264140,1422953746592754,1415985528089027,138,
26,1439478758514609,1447411163201650,1422953759028631,1415985534650641,138,
27,1439478759139622,1447411165826669,1422953768777358,1415985556585179,138,
28,1439478759889635,1447411176139286,1422953769839719,1415985584893858,138,
29,1439478761327158,1447411188889418,1422953770652114,1415985586518636,138,
30,1439478939204858,1447411334203416,1422953891073908,1415985693754163,168,
31,1439478939642369,1447411334703422,1422953891511352,1415985694004129,168,
32,1439478940079875,1447411335203428,1422953891948795,1415985694254097,168,
33,1439478940579885,1447411335703433,1422953892386237,1415985694504059,168,
34,1439478941017390,1447411336203437,1422953892823680,1415985694754028,168,
35,1439478959455167,1447411361953711,1422954177286701,1415985708314701,174,
36,1439478959830166,1447411362516212,1422954177849129,1415985708689647,174,
37,1439478960267672,1447411363078718,1422954178411556,1415985709127089,174,
38,1439478960705179,1447411363703724,1422954178973982,1415985709689514,174,
39,1439478961205183,1447411364391234,1422954179536410,1415985710564395,174,
40,1439479087332130,1447411533018014,1422954450438850,1415985921285994,201,
41,1439479087644633,1447411533268019,1422954450751310,1415985921598453,201,
42,1439479087894633,1447411533518019,1422954451063770,1415985921910907,201,
43,1439479088207136,1447411533768026,1422954451376229,1415985922223367,201,
44,1439479088457140,1447411534080524,1422954451688690,1415985922535827,201,
45,1439480876047836,1447412924470578,1422955397629515,1415987179679474,401,
46,1439480876360338,1447412924908083,1422955398004467,1415987179991930,401,
47,1439480876735344,1447412925283088,1422955398379418,1415987180241899,401,
48,1439480877110351,1447412925658092,1422955398754370,1415987180554354,401,
49,1439480877422853,1447412926033095,1422955399129323,1415987180804323,401,
50,1439478483760535,1447410827448246,1422953366892401,1415985180823458,54,
51,1439478484010536,1447410827698249,1422953367142369,1415985181073428,54,
52,1439478484260541,1447410827885749,1422953367392336,1415985181323395,54,
53,1439478484510545,1447410828198251,1422953367704795,1415985181573359,54,
54,1439478484760548,1447410828385751,1422953367954762,1415985181823327,54,
55,1439479288147746,1447411702707311,1422954610543190,1415986068891122,240,
56,1439479288772755,1447411703082319,1422954610980633,1415986069266072,240,
57,1439479289335262,1447411703457317,1422954611418077,1415986069641022,240,
58,1439479289897774,1447411703832322,1422954611855521,1415986070015971,240,
59,1439479290397779,1447411704207326,1422954612230472,1415986070390919,240,
60,1439480444103433,1447412309401339,1422955011554078,1415986515018666,309,
61,1439480444728438,1447412309776341,1422955011929029,1415986515331113,309,
62,1439480445290951,1447412310151345,1422955012303981,1415986515643570,309,
63,1439480445790959,1447412310463852,1422955012678933,1415986515956026,309,
64,1439480446228469,1447412310776353,1422955013053885,1415986516205996,309,
65,1439480907235816,1447412959033453,1422955431500171,1415987210675316,410,
66,1439480907673324,1447412959533461,1422955432062598,1415987211050267,410,
67,1439480908110836,1447412960033467,1422955432625026,1415987211425217,410,
68,1439480908548342,1447412960533473,1422955433187454,1415987211800167,410,
69,1439480908985850,1447412961033480,1422955433749883,1415987212175116,410,
70,1439480630106411,1447412516966104,1422955163534556,1415986642689010,347,
71,1439480630543917,1447412517403606,1422955163847015,1415986642938981,347,
72,1439480631043923,1447412517841108,1422955164221968,1415986643251437,347,
73,1439480631418929,1447412518216114,1422955164596919,1415986643501406,347,
74,1439480631856435,1447412518591119,1422955164909379,1415986643751372,347,
75,1439479514713774,1447411762957961,1422954686533395,1415986129070526,259,
76,1439479515838793,1447411763332966,1422954686908347,1415986129445475,259,
77,1439479516901308,1447411763770468,1422954687345791,1415986129820424,259,
78,1439479518026329,1447411764207973,1422954687783234,1415986130257867,259,
79,1439479519151336,1447411764645478,1422954688220678,1415986130695309,259,
80,1439478587574549,1447410963324599,1422953559992135,1415985348488288,90,
81,1439478587887051,1447410963637100,1422953560367085,1415985348738254,90,
82,1439478588137056,1447410963949604,1422953560679544,1415985349050714,90,
83,1439478588449560,1447410964262107,1422953560992004,1415985349300681,90,
84,1439478588762066,1447410964574611,1422953561366954,1415985349613138,90,
85,1439478956580114,1447411357578664,1422954168225376,1415985705565069,173,
86,1439478956892620,1447411358078672,1422954170912528,1415985705877528,173,
87,1439478957267629,1447411358578678,1422954172974760,1415985706189985,173,
88,1439478957580136,1447411359078682,1422954173974632,1415985706439953,173,
89,1439478957892637,1447411359578683,1422954174662042,1415985706752409,173,
90,1439481065363351,1447413234974025,1422955598228795,1415987368341677,457,
91,1439481065613358,1447413235286528,1422955598541255,1415987368654137,457,
92,1439481065863363,1447413235599032,1422955598791223,1415987368966595,457,
93,1439481066113368,1447413235911535,1422955599103683,1415987369279050,457,
94,1439481066363367,1447413236286539,1422955599416143,1415987369591510,457,
95,1439478269819999,1447410587695948,1422953209850489,1415985051903415,8,
96,1439478270195005,1447410588070954,1422953210225440,1415985052215874,8,
97,1439478270632512,1447410588445957,1422953210537911,1415985052528332,8,
98,1439478271070020,1447410588820960,1422953210850359,1415985052840786,8,
99,1439478271507528,1447410589195965,1422953211225309,1415985053153247,8,
100,1439481035800386,1447413156660643,1422955562108425,1415987314848850,442,
101,1439481036050380,1447413156910644,1422955562420884,1415987315098815,442,
102,1439481036300382,1447413157223148,1422955562733345,1415987315348784,442,
103,1439481036550386,1447413157473152,1422955563045805,1415987315598749,442,
104,1439481036800390,1447413157785656,1422955563358264,1415987315848713,442,
105,1439480370414758,1447412225587926,1422954971746694,1415986503895149,305,
106,1439480370852264,1447412226025433,1422954972059153,1415986504145112,305,
107,1439480371352271,1447412226462942,1422954972371614,1415986504457573,305,
108,1439480371852280,1447412226900443,1422954972684073,1415986504770031,305,
109,1439480372352289,1447412227337948,1422954972996533,1415986505019996,305,
110,1439480932048717,1447412990033799,1422955462183736,1415987233297284,417,
